STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
"06","071","008710",1400000US06071008710,"06071008710","87.10",Census Tract 87.10,CA,San Bernardino County,California,CT,1845709,0
"06","071","011102",1400000US06071011102,"06071011102","111.02",Census Tract 111.02,CA,San Bernardino County,California,CT,205840849,513081
"06","071","011204",1400000US06071011204,"06071011204","112.04",Census Tract 112.04,CA,San Bernardino County,California,CT,3785231,0
"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"06","071","010016",1400000US06071010016,"06071010016","100.16",Census Tract 100.16,CA,San Bernardino County,California,CT,5954851,0
"06","071","000105",1400000US06071000105,"06071000105","1.05",Census Tract 1.05,CA,San Bernardino County,California,CT,5776985,0
"06","071","000604",1400000US06071000604,"06071000604","6.04",Census Tract 6.04,CA,San Bernardino County,California,CT,2267256,0
"06","071","010021",1400000US06071010021,"06071010021","100.21",Census Tract 100.21,CA,San Bernardino County,California,CT,6442102,0
"06","071","001804",1400000US06071001804,"06071001804","18.04",Census Tract 18.04,CA,San Bernardino County,California,CT,1959066,0
"06","071","001308",1400000US06071001308,"06071001308","13.08",Census Tract 13.08,CA,San Bernardino County,California,CT,1077531,0
"06","071","009800",1400000US06071009800,"06071009800","98",Census Tract 98,CA,San Bernardino County,California,CT,3351495,0
"06","071","000208",1400000US06071000208,"06071000208","2.08",Census Tract 2.08,CA,San Bernardino County,California,CT,1300363,0
"06","071","002027",1400000US06071002027,"06071002027","20.27",Census Tract 20.27,CA,San Bernardino County,California,CT,1946215,0
"06","071","001503",1400000US06071001503,"06071001503","15.03",Census Tract 15.03,CA,San Bernardino County,California,CT,553555,0
"06","071","004001",1400000US06071004001,"06071004001","40.01",Census Tract 40.01,CA,San Bernardino County,California,CT,3258715,0
"06","071","003603",1400000US06071003603,"06071003603","36.03",Census Tract 36.03,CA,San Bernardino County,California,CT,1300549,0
"06","071","003611",1400000US06071003611,"06071003611","36.11",Census Tract 36.11,CA,San Bernardino County,California,CT,643986,0
"06","071","007108",1400000US06071007108,"06071007108","71.08",Census Tract 71.08,CA,San Bernardino County,California,CT,2696921,168572
"06","071","002708",1400000US06071002708,"06071002708","27.08",Census Tract 27.08,CA,San Bernardino County,California,CT,2479130,0
