apn,shape_area,category,year_built,class,county,unknown,place_name
"012806231",512400,Existing,2003,storage warehouse,San Bernardino County,"0",Rialto
"012806329",1411900,Existing,2006,flex,San Bernardino County,"0",Rialto
"012815152",273400,Existing,2006,light industrial,San Bernardino County,"0",Rialto
"012815116",178100,Existing,1980,light industrial,San Bernardino County,"0",Rialto
"012815150",505200,Existing,2008,distribution warehouse,San Bernardino County,"0",Rialto
"012815142",2039400,Existing,1998,distribution warehouse,San Bernardino County,"0",Rialto
"012815141",522800,Existing,2021,improvements ass'd associated apn,San Bernardino County,"0",Rialto
"012815138",1900200,Existing,1990,distribution warehouse,San Bernardino County,"0",Rialto
"012806232",398300,Existing,2023,distribution warehouse,San Bernardino County,"0",Rialto
"012806327",530500,Existing,1987,light industrial,San Bernardino County,"0",Rialto
"012806330",807100,Existing,2005,flex,San Bernardino County,"0",Rialto
"012806234",82100,Existing,2023,distribution warehouse,San Bernardino County,"0",Rialto
"012806331",277300,Existing,2006,distribution warehouse,San Bernardino County,"0",Rialto
"012825104",95200,Existing,1980,storage warehouse,San Bernardino County,"0",Rialto
"013022226",53200,Existing,1980,storage warehouse,San Bernardino County,"0",Rialto
"013021120",70600,Existing,1985,storage warehouse,San Bernardino County,"0",Rialto
"013021140",97200,Existing,2008,storage warehouse,San Bernardino County,"0",Rialto
"013101218",433000,Existing,1994,storage warehouse,San Bernardino County,"0",Rialto
"013101118",198500,Existing,1980,light industrial,San Bernardino County,"0",Rialto
"013101117",217300,Existing,1980,light industrial,San Bernardino County,"0",Rialto
"013101136",389000,Existing,1991,distribution warehouse,San Bernardino County,"0",Rialto
"013101137",527900,Existing,2016,distribution warehouse,San Bernardino County,"0",Rialto
"013101110",243300,Existing,2008,distribution warehouse,San Bernardino County,"0",Rialto
"013101138",149900,Existing,2022,distribution warehouse,San Bernardino County,"0",Rialto
"013101111",178500,Existing,1980,light industrial,San Bernardino County,"0",Rialto
"013216119",91300,Existing,2024,distribution warehouse,San Bernardino County,"0",Rialto
"013220104",412700,Existing,2023,distribution warehouse,San Bernardino County,"0",Rialto
